fid,latitude,longitude,full_id,osm_id,osm_type,addr_city,addr_stree,amenity,cuisine,name,name_en,name_ko,name_ru,opening_ho,branch,brand,brand_wiki,brand_wi_1,takeaway,addr_house,addr_floor,addr_hou_1,addr_postc,addr_str_1,level,email,operator,phone,addr_provi,delivery,garmin_des,outdoor_se,source_url,contributo,brand_face,brand_webs,drive_thro,name_ja,payment_ca,smoking,ele,name_zh,building_l,roof_mater,wall_mater,drive_in,alt_name,internet_a,wheelchair,addr_place,int_name,mapillary,entrance,building,addr_town,ref_vatin,baby_feedi,door,addr_quart,website,access,highway,air_condit,opening__1,addr_distr,previously,addr_regio,addr_zip,postal_cod,government,ph_contrib,atm,capacity,addr_villa,tactile_pa,access_cov,delivery_c,drive_th_1,takeaway_c,camera_mou,camera_typ,man_made,surveillan,surveill_1,survey_dat,payment_el,descriptio,layer,path
396,14.6006444,120.9908266,n3597990752,3597990752,node,Manila,legarda corner claro m. recto,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
397,14.5163838,121.0516928,n3602013506,3602013506,node,,,fast_food,burger,McDonald's,,,,24/7,C5 Waterfun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
398,14.6024702,120.9874525,n3595652229,3595652229,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
399,14.6752318,121.0455675,n3632466928,3632466928,node,,Tandang Sora Avenue,fast_food,burger,McDonald's,,,,,Tandang Sora,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
400,14.5781023,120.9823699,n3712078834,3712078834,node,,,fast_food,burger,McDonald's,,,,,Padre Faura,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
401,14.6334707,121.0193878,n3602653032,3602653032,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,Fisher Mall,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
402,14.569379,121.0248355,n3610368989,3610368989,node,Makati,J. P. Rizal,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,yes,,,,,,,no,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
403,14.4867623,121.0437514,n3769898539,3769898539,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
404,14.6398319,121.0409567,n3832217389,3832217389,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,main,,,,,hinged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
405,14.416667,121.0463469,n3740145388,3740145388,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
406,14.4168801,121.0410689,n3750489055,3750489055,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,McDonald's,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
407,14.5879088,120.9850278,n4102842497,4102842497,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
408,14.5997146,120.9812632,n4111666633,4111666633,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
