x,y,full_id,osm_id,osm_type,amenity,name,name:kn,barrier,bicycle,foot,motorcycle,wikidata,addr:city,addr:postcode,addr:street,wheelchair,ups_school,phone,website,isced:level,operator,place,school,highway,building,email,addr:housename,designation,alt_name,fax,description,name:en,name:hi,addr:housenumber,opening_hours,cmt,ele,hdop,sat,level,entrance,access,building:levels,isced,addr:country,addr:hamlet,addr:suburb
77.5978653,12.9555605,n6349074612,6349074612,node,school,St Michael LPS Shanthinagar,ಸೆಂಟ್‌ ಮೈಕಲ್ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಶಾಂತಿನಗರ,,,,,,,,,,,,,2,Department of Education,Shanthinagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6001316,12.849696,n6349202651,6349202651,node,school,Saint Francis Xavier HPS Chikkana Halli,ಸೆಂಟ್‌  ಫ್ರ ಕ್ಸೇವಿಯರ್ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚಿಕ್ಕಕಮ್ಮನ ಹಳ್ಳಿ,,,,,,,,,,,,,2,Pvt. Aided,Chikkana Halli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5974085,12.9492633,n6349206826,6349206826,node,school,Maruthi KHPS Willson Garden,ಮಾರುತಿ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವಿಲ್ಸನ್ ಗಾರ್ಡನ್,,,,,,,,,,,,,2,Pvt. Aided,Willson Garden,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5850056,12.8435532,n6349192885,6349192885,node,school,GMPS Nekarara Colony,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ನೇಕಾರರ ಕಾಲೋನಿ,,,,,,,,,,,,,2,Department of Education,Nekarara Colony,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6201862,12.9006028,n6349202586,6349202586,node,school,GHPS Kodichikkana Halli,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೋಡಿಚಿಕ್ಕನಹಳ್ಳಿ,,,,,,,,,,,,,2,Department of Education,Kodichikkana Halli,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5815146,12.8655347,n6349178484,6349178484,node,school,GHPS Jambusavari Dinne,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಜಂಬುಸವಾರಿ ದಿಣ್ಣೆ,,,,,,,,,,,,,2,Department of Education,Jambusavari Dinne,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5840074,12.8474735,n6349188814,6349188814,node,school,Jnanajyothi HPS Nekarara Colony,ಜ್ಞಾನಜ್ಯೋತಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ನೇಕಾರರ ಕಾಲೋನಿ,,,,,,,,,,,,,2,Local body,Nekarara Colony,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5888165,12.9274871,n6349168143,6349168143,node,school,Panchavati Vidyamandira Jayanagar,ಪಂಚವಟಿ ವಿದ್ಯಾಮಂದಿರ ಜಯನಗರ,,,,,,,,,,,,,2,Department of Education,Jayanagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5688673,12.8873821,n6349173947,6349173947,node,school,GHPS Konanakunte,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೋಣನಕುಂಟೆ,,,,,,,,,,,,,2,Department of Education,Konanakunte,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.619154,12.9221808,n6349007390,6349007390,node,school,GUHPS Madivala,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಡಿವಾಳ,,,,,,,,,,,,,2,Department of Education,Madivala,primary,,,,,,,,,,,,,,,,,,,,,,,,
